text,label
"Your SBI account will be suspended. Click here to verify: http://sbi-secure.xyz","phishing"
"Dear user, update your KYC immediately at http://paytm-update.in","phishing"
"Your bank account is locked, login now http://secure-bank-alert.com","phishing"
"Urgent: Verify your account to avoid suspension","phishing"
"Cl1ck h3re to update your account details now","phishing"
"Your Paytm wallet is blocked, visit link to reactivate","phishing"
"Bank alert: suspicious activity detected, confirm now","phishing"
"Login required: http://secure-login-alert.xyz","phishing"
"Your debit card is deactivated, verify details now","phishing"
"Immediate action required: update banking info","phishing"
"Your account is on hold. cl1ck here to fix","phishing"
"Verify your PAN details at http://pan-update-alert.in","phishing"
"Important: account access limited until verification","phishing"
"Security alert: login attempt blocked, confirm identity","phishing"
"Your SBI netbanking expired, renew now","phishing"
"Your account will be closed unless verified","phishing"
"Cl1ck now to avoid account suspension","phishing"
"Your Paytm account needs urgent verification","phishing"
"Confirm your identity at http://bank-secure-login.co","phishing"
"Bank KYC pending. Update now","phishing"
"Verify your credentials to restore access","phishing"
"Your UPI is blocked. Fix immediately","phishing"
"Unauthorized login detected. Secure account","phishing"
"Click link to reset banking access","phishing"
"Suspicious login attempt, confirm now","phishing"
"Update details or account will be blocked","phishing"
"Immediate verification required","phishing"
"Access restricted until confirmation","phishing"
"Bank alert: confirm identity","phishing"
"Your account requires attention","phishing"
"Act now to avoid issues","phishing"
"Secure your account immediately","phishing"
"Verification pending. Click link","phishing"
"Login failure detected, verify now","phishing"
"Update your info urgently","phishing"
"Important account notice","phishing"
"Verify payment method now","phishing"
"Account locked. Fix immediately","phishing"
"Confirm login activity","phishing"
"Your account is at risk","phishing"
"Urgent action needed","phishing"
"Security update required","phishing"
"Bank notice: verify","phishing"
"Account warning alert","phishing"
"Login verification required","phishing"
"Click to restore access","phishing"
"Verify details now","phishing"
"Immediate account action","phishing"
"Confirm identity now","phishing"
"Update credentials","phishing"
"Access issue detected","phishing"
"Login issue alert","phishing"
"Verify account quickly","phishing"
"Fix account problem","phishing"
"Account locked alert","phishing"
"Urgent verification","phishing"
"Security issue detected","phishing"
"Fix banking issue now","phishing"
"Update required now","phishing"
"Share OTP to claim cashback","otp_scam"
"Your 0TP is required for reward","otp_scam"
"Give OTP to confirm transaction","otp_scam"
"OTP needed for verification call","otp_scam"
"Send OTP now to receive ₹2000","otp_scam"
"Your 0TP: 456123 share for prize","otp_scam"
"Provide OTP to unlock benefits","otp_scam"
"Tell OTP to complete KYC","otp_scam"
"OTP required urgently","otp_scam"
"Confirm OTP for bonus","otp_scam"
"Share 0TP immediately","otp_scam"
"OTP needed to process request","otp_scam"
"Give OTP to agent","otp_scam"
"Provide OTP for verification","otp_scam"
"Share OTP to avoid penalty","otp_scam"
"OTP required for cashback","otp_scam"
"Send OTP quickly","otp_scam"
"Give 0TP for confirmation","otp_scam"
"OTP needed for account unlock","otp_scam"
"Share OTP now","otp_scam"
"Provide OTP to proceed","otp_scam"
"OTP required for refund","otp_scam"
"Send OTP to confirm","otp_scam"
"Give OTP to claim","otp_scam"
"OTP verification needed","otp_scam"
"Provide OTP now","otp_scam"
"Share OTP for benefit","otp_scam"
"OTP required","otp_scam"
"Send OTP urgently","otp_scam"
"Give OTP now","otp_scam"
"OTP needed now","otp_scam"
"Provide OTP quickly","otp_scam"
"Share OTP for reward","otp_scam"
"Send OTP for prize","otp_scam"
"Give OTP for confirmation","otp_scam"
"OTP needed for login","otp_scam"
"Provide OTP for access","otp_scam"
"Share OTP fast","otp_scam"
"Send OTP now","otp_scam"
"OTP required urgently","otp_scam"
"Give OTP fast","otp_scam"
"Provide OTP instantly","otp_scam"
"OTP needed quickly","otp_scam"
"Share OTP now","otp_scam"
"Send OTP immediately","otp_scam"
"OTP needed asap","otp_scam"
"Provide OTP urgently","otp_scam"
"Share OTP instantly","otp_scam"
"Send OTP quickly","otp_scam"
"OTP required fast","otp_scam"
"Give OTP asap","otp_scam"
"Provide OTP asap","otp_scam"
"OTP needed asap","otp_scam"
"Share OTP asap","otp_scam"
"Send OTP asap","otp_scam"
"OTP required asap","otp_scam"
"Give OTP urgently","otp_scam"
"Provide OTP urgently","otp_scam"
"Share OTP urgently","otp_scam"
"Earn ₹5000 daily from home","job_scam"
"Amazon job offer, pay ₹500 fee","job_scam"
"Work from home, easy income","job_scam"
"Selected for Flipkart job","job_scam"
"Pay registration fee for job","job_scam"
"Job offer limited time","job_scam"
"Earn money fast","job_scam"
"Apply now for job","job_scam"
"Job opportunity urgent","job_scam"
"Get hired instantly","job_scam"
"Work online earn ₹3000","job_scam"
"Job confirmed pay fee","job_scam"
"Easy job high income","job_scam"
"Apply for job now","job_scam"
"Job selection confirmed","job_scam"
"Earn from home","job_scam"
"Online job offer","job_scam"
"Pay fee to confirm job","job_scam"
"Job waiting for you","job_scam"
"Quick job hiring","job_scam"
"Apply fast job","job_scam"
"Job alert urgent","job_scam"
"Earn money daily","job_scam"
"Job offer now","job_scam"
"Apply job quickly","job_scam"
"Job offer limited","job_scam"
"Earn income now","job_scam"
"Online job apply","job_scam"
"Job hiring fast","job_scam"
"Earn money easily","job_scam"
"Apply job instantly","job_scam"
"Job opportunity now","job_scam"
"Earn daily income","job_scam"
"Job apply now","job_scam"
"Work earn money","job_scam"
"Job hiring urgent","job_scam"
"Apply job fast","job_scam"
"Earn income fast","job_scam"
"Job alert now","job_scam"
"Apply job quickly","job_scam"
"Earn money now","job_scam"
"Job opportunity fast","job_scam"
"Apply job urgent","job_scam"
"Earn fast money","job_scam"
"Job hiring now","job_scam"
"Apply job today","job_scam"
"Earn money today","job_scam"
"Job apply today","job_scam"
"Earn income today","job_scam"
"Job alert today","job_scam"
"Apply job today","job_scam"
"Earn now","job_scam"
"Job apply now","job_scam"
"Earn money fast","job_scam"
"Job hiring fast","job_scam"
"Apply now","job_scam"
"Earn money now","job_scam"
"Job opportunity now","job_scam"
"You won ₹25 lakh KBC lottery","lottery"
"Claim your ₹10,000 prize","lottery"
"Congratulations you are winner","lottery"
"Spin wheel win reward","lottery"
"Jackpot prize waiting","lottery"
"Win cash now","lottery"
"Prize claim urgent","lottery"
"Lottery winner alert","lottery"
"Claim reward now","lottery"
"Win big prize","lottery"
"Congratulations winner","lottery"
"Claim jackpot","lottery"
"Prize waiting","lottery"
"Win reward now","lottery"
"Lottery win alert","lottery"
"Claim money now","lottery"
"Win ₹5000","lottery"
"Prize claim now","lottery"
"Winner selected","lottery"
"Claim prize","lottery"
"Win jackpot","lottery"
"Prize alert","lottery"
"Win reward","lottery"
"Lottery claim","lottery"
"Win now","lottery"
"Prize waiting","lottery"
"Winner alert","lottery"
"Claim reward","lottery"
"Win prize","lottery"
"Lottery win","lottery"
"Claim prize now","lottery"
"Win jackpot now","lottery"
"Prize now","lottery"
"Winner now","lottery"
"Claim now","lottery"
"Win today","lottery"
"Prize today","lottery"
"Winner today","lottery"
"Claim today","lottery"
"Win instantly","lottery"
"Prize instantly","lottery"
"Winner instantly","lottery"
"Claim instantly","lottery"
"Win fast","lottery"
"Prize fast","lottery"
"Winner fast","lottery"
"Claim fast","lottery"
"Win reward now","lottery"
"Prize reward now","lottery"
"Winner reward now","lottery"
"Claim reward now","lottery"
"Win big","lottery"
"Prize big","lottery"
"Winner big","lottery"
"Claim big","lottery"
"Win huge","lottery"
"Prize huge","lottery"
"Winner huge","lottery"
"Let's meet tomorrow","safe"
"Call me when free","safe"
"Assignment due today","safe"
"Happy birthday","safe"
"See you soon","safe"
"Meeting at 5pm","safe"
"Bring notes","safe"
"Class starts at 9","safe"
"Project deadline tomorrow","safe"
"Lunch at 1pm","safe"
"Are you coming","safe"
"Call me later","safe"
"Let's study together","safe"
"See you in class","safe"
"Meeting rescheduled","safe"
"Check email","safe"
"Send notes","safe"
"Let's go out","safe"
"Call me now","safe"
"Text me","safe"
"Reach home safely","safe"
"Submit assignment","safe"
"Meet at gate","safe"
"Bring laptop","safe"
"Call after class","safe"
"See you tomorrow","safe"
"Meeting confirmed","safe"
"Assignment submitted","safe"
"Lunch break","safe"
"Call later","safe"
"Let's meet","safe"
"See you","safe"
"Meeting now","safe"
"Call now","safe"
"Text later","safe"
"See you soon","safe"
"Meeting later","safe"
"Call tomorrow","safe"
"Let's talk","safe"
"See you again","safe"
"Meeting today","safe"
"Call today","safe"
"Text today","safe"
"See you today","safe"
"Meeting soon","safe"
"Call soon","safe"
"Text soon","safe"
"See you soon","safe"
"Meeting confirmed","safe"
"Call confirmed","safe"
"Text confirmed","safe"
"See you confirmed","safe"
"Meeting done","safe"
"Call done","safe"
"Text done","safe"
"See you done","safe"
"Meeting finished","safe"
"Call finished","safe"
"Text finished","safe"
